,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
14799,68,0,0,0,0,-0.201778,-0.1195445,9.885718,0.06789061,-0.668517,-0.01590019,-1.59E-05,4.81E-05,1.06E-06,-0.6928235,1.169219,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14800,68,0,0,0,0,-0.2136991,-0.1093441,9.904075,-0.02195387,0.3163432,0.03661396,-1.49E-05,4.81E-05,2.56E-06,-0.632538,1.235997,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14801,68,0,0,0,0,-0.2203593,-0.1194699,9.907526,-0.02561739,0.3129455,0.01357762,-1.44E-05,3.31E-05,1.31E-06,-0.6908678,1.274047,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14802,68,0,0,0,0,-0.209031,-0.1079706,9.870376,0.02203615,0.3261783,0.06832804,-1.59E-05,3.21E-05,1.69E-06,-0.6267251,1.213134,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14803,68,0,0,0,0,-0.2167505,-0.1145876,9.888047,0.004011794,0.3463664,-0.007894817,-1.54E-05,3.26E-05,1.06E-06,-0.6639424,1.255664,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14804,68,0,0,0,0,-0.2359032,-0.09580438,9.89045,-0.02194689,0.3133302,0.009474556,-1.44E-05,4.86E-05,8.13E-07,-0.5549812,1.366274,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14805,68,0,0,0,0,-0.2091873,-0.1044076,9.875134,0.02038158,-0.6663476,-0.07259507,-1.54E-05,3.36E-05,1.31E-06,-0.6057531,1.213461,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14806,68,0,0,0,0,-0.2222538,-0.1043674,9.892233,-0.02545698,0.3349514,0.04685995,-1.54E-05,4.81E-05,1.19E-06,-0.6044729,1.287005,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14807,68,0,0,0,0,-0.2069556,-0.1080609,9.879853,-0.07865857,-0.6849677,-0.06990127,-1.49E-05,3.21E-05,8.13E-07,-0.6266479,1.199941,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14808,68,0,0,0,0,-0.227552,-0.1114782,9.890385,0.003728284,0.3345642,0.1283475,-1.54E-05,4.81E-05,2.06E-06,-0.6457749,1.31791,0,1,1,0,0,0,0,0,0,0,0,0,0,0
